序号,岗位名称,是否AI岗位,学历,工作经验,城市,城市等级,公司规模,月薪,岗位职责
41,活动运营,否,本科,1-3年,南宁,二线城市,500-2000人,4700,协调设计、产品、技术等资源推动活动上线；研究行业优秀活动案例，建立活动创意库；策划并执行线上营销活动（促销/拉新/裂变/节日活动）；制定活动方案（目标/预算/流程/风险预案）
42,品牌运营,否,本科,5-10年,南昌,二线城市,500-2000人,5500,制定品牌在新媒体渠道的传播策略和调性定位；策划品牌营销事件（联名/跨界/节日营销）；协调外部媒体和KOL资源，扩大品牌声量；管理品牌官方账号矩阵，统一视觉和语言风格；监测品牌舆情和口碑，及时进行声誉管理
43,短视频运营,否,大专,5-10年,成都,新一线城市,500-2000人,6300,分析短视频数据（完播率、点赞、涨粉）优化内容；策划短视频内容选题，撰写分镜脚本；研究平台算法规则，提升视频推荐量和曝光；对接达人/KOL资源，策划合作推广内容；跟进拍摄和后期剪辑，把控成片质量
44,短视频运营,否,硕士,3-5年,合肥,二线城市,150-500人,6400,负责抖音、快手、视频号等短视频平台的账号运营；策划短视频内容选题，撰写分镜脚本；分析短视频数据（完播率、点赞、涨粉）优化内容
45,AI内容策划,是,本科,1年以下,武汉,新一线城市,500-2000人,7600,建立AI内容质量评估标准，把控机器生成内容质量；结合AI数据分析用户内容偏好，制定内容策略方向；探索RAG（检索增强生成）技术在内容生产中的应用
46,用户运营,否,大专,1-3年,重庆,新一线城市,2000人以上,4200,搭建用户分层体系（新用户/活跃用户/沉睡用户）；策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率；建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求
47,AI新媒体运营,是,大专,1-3年,合肥,二线城市,500-2000人,5000,运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；训练和调优AI模型以适应垂直领域的运营需求
48,新媒体运营总监,否,本科,3-5年,福州,二线城市,2000人以上,4600,推动新媒体与传统业务融合，探索商业变现路径；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；建立数据驱动的运营体系，对核心KPI负责；制定公司新媒体战略方向及中长期发展规划；代表公司参与行业峰会，维护媒体关系和品牌声誉
49,新媒体运营总监,否,博士,10年以上,武汉,新一线城市,150-500人,18000,代表公司参与行业峰会，维护媒体关系和品牌声誉；搭建并管理新媒体运营团队（10-50人）；推动新媒体与传统业务融合，探索商业变现路径
50,用户运营,否,大专,1-3年,杭州,一线城市,150-500人,5200,策划用户激励活动（签到/积分/会员权益）；建立用户反馈闭环机制，推动产品优化；维护核心用户社群，培养KOC并引导UGC产出；搭建用户分层体系（新用户/活跃用户/沉睡用户）
51,AI数据分析运营,是,本科,3-5年,长沙,新一线城市,500-2000人,9600,通过机器学习预测粉丝增长趋势和内容爆款概率；利用AI进行竞品数据采集和分析，输出竞争情报；为运营团队提供AI数据洞察，驱动精细化运营决策；开发AI驱动的自动化数据看板和预警系统；运用大模型进行非结构化运营数据（评论/反馈）的语义分析
52,活动运营,否,本科,1年以下,杭州,一线城市,150-500人,5200,活动结束后输出复盘报告，沉淀方法论；监控活动实时数据，动态调整策略以提升效果；研究行业优秀活动案例，建立活动创意库
53,社群运营,否,本科,10年以上,苏州,新一线城市,50-150人,10600,分析社群数据（入群率、活跃度、转化率、流失率）；策划社群活动（秒杀/拼团/打卡/直播）提升转化率；培养社群KOC，激励用户自发裂变拉新；处理群内投诉和负面情绪，维护社群氛围
54,AI数据分析运营,是,本科,3-5年,上海,一线城市,150-500人,17300,通过机器学习预测粉丝增长趋势和内容爆款概率；为运营团队提供AI数据洞察，驱动精细化运营决策；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；利用AI进行竞品数据采集和分析，输出竞争情报；开发AI驱动的自动化数据看板和预警系统
55,直播运营,否,本科,1-3年,郑州,新一线城市,50-150人,5500,分析竞品直播间打法，迭代直播话术和节奏；管理直播投流（千川/聚星），优化ROI；监控直播数据（在线人数/互动率/GMV）实时调整策略
56,用户运营,否,本科,1-3年,上海,一线城市,150-500人,9000,策划用户激励活动（签到/积分/会员权益）；设计用户增长策略，提升拉新转化率和留存率；搭建用户分层体系（新用户/活跃用户/沉睡用户）；维护核心用户社群，培养KOC并引导UGC产出
57,新媒体运营总监,否,本科,1-3年,上海,一线城市,150-500人,8400,推动新媒体与传统业务融合，探索商业变现路径；建立数据驱动的运营体系，对核心KPI负责；代表公司参与行业峰会，维护媒体关系和品牌声誉；搭建并管理新媒体运营团队（10-50人）
58,大模型提示词运营,是,本科,1-3年,成都,新一线城市,500-2000人,8600,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；编写Prompt工程规范文档，培训团队成员使用AI工具；测试不同大模型（GPT/Claude/文心/通义）的内容产出质量
59,新媒体运营总监,否,大专,1-3年,重庆,新一线城市,2000人以上,4700,制定公司新媒体战略方向及中长期发展规划；建立数据驱动的运营体系，对核心KPI负责；搭建并管理新媒体运营团队（10-50人）
60,用户运营,否,硕士,5-10年,厦门,二线城市,500-2000人,9500,搭建用户分层体系（新用户/活跃用户/沉睡用户）；维护核心用户社群，培养KOC并引导UGC产出；设计用户增长策略，提升拉新转化率和留存率；通过用户调研和数据分析洞察用户需求
61,AI新媒体运营,是,大专,1-3年,深圳,一线城市,15-50人,4700,运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；探索AI+运营的创新场景，提升团队整体效率；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；训练和调优AI模型以适应垂直领域的运营需求
62,AI新媒体运营,是,本科,3-5年,成都,新一线城市,500-2000人,12900,通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；探索AI+运营的创新场景，提升团队整体效率；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
63,智能投放运营,是,本科,5-10年,苏州,新一线城市,2000人以上,17100,通过AI分析投放数据，自动调整人群定向和投放时段；监控AI投放ROI，持续优化模型参数和投放策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；搭建基于机器学习的智能出价和预算分配模型；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略
64,短视频运营,否,硕士,3-5年,成都,新一线城市,2000人以上,11300,跟进拍摄和后期剪辑，把控成片质量；对接达人/KOL资源，策划合作推广内容；策划短视频内容选题，撰写分镜脚本；负责抖音、快手、视频号等短视频平台的账号运营
65,新媒体运营总监,否,硕士,3-5年,南京,新一线城市,150-500人,8600,推动新媒体与传统业务融合，探索商业变现路径；代表公司参与行业峰会，维护媒体关系和品牌声誉；制定公司新媒体战略方向及中长期发展规划；统筹品牌全域新媒体矩阵，把控内容调性与传播节奏；建立数据驱动的运营体系，对核心KPI负责
66,AI新媒体运营,是,本科,3-5年,成都,新一线城市,500-2000人,10800,运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；训练和调优AI模型以适应垂直领域的运营需求；探索AI+运营的创新场景，提升团队整体效率
67,直播运营,否,硕士,1-3年,合肥,二线城市,2000人以上,8600,监控直播数据（在线人数/互动率/GMV）实时调整策略；管理直播投流（千川/聚星），优化ROI；策划直播主题和脚本，协调主播和商品资源
68,智能投放运营,是,本科,3-5年,重庆,新一线城市,50-150人,6500,搭建基于机器学习的智能出价和预算分配模型；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；通过AI分析投放数据，自动调整人群定向和投放时段；监控AI投放ROI，持续优化模型参数和投放策略
69,直播运营,否,本科,1年以下,杭州,一线城市,500-2000人,5500,管理直播投流（千川/聚星），优化ROI；负责直播间的日常运营和排期管理；维护粉丝群，提升复购率和用户粘性；分析竞品直播间打法，迭代直播话术和节奏；策划直播主题和脚本，协调主播和商品资源
70,智能营销运营,是,大专,1-3年,襄阳,三线城市,150-500人,2400,运用AI进行A/B测试分析和营销素材智能优化；通过自然语言处理(NLP)分析用户评论和舆情趋势；利用AI进行营销人群定向和智能投放策略优化；设计AI驱动的个性化推荐和营销自动化流程
71,智能投放运营,是,大专,5-10年,北京,一线城市,150-500人,13400,搭建基于机器学习的智能出价和预算分配模型；监控AI投放ROI，持续优化模型参数和投放策略；探索AI在跨平台投放归因分析和预算最优分配中的应用；通过AI分析投放数据，自动调整人群定向和投放时段；运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略
72,新媒体运营专员,否,本科,3-5年,北京,一线城市,500-2000人,13100,撰写新媒体文案，策划选题并执行内容发布；回复用户评论和私信，维护品牌形象；监测运营数据（阅读量、粉丝增长、互动率），输出周报；跟踪热点话题，快速产出相关内容提升曝光；负责微信公众号、微博等平台的日常内容更新与维护
73,短视频运营,否,大专,3-5年,深圳,一线城市,2000人以上,6600,对接达人/KOL资源，策划合作推广内容；分析短视频数据（完播率、点赞、涨粉）优化内容；负责抖音、快手、视频号等短视频平台的账号运营
74,智能营销运营,是,本科,5-10年,西安,新一线城市,50-150人,11600,搭建基于机器学习的用户生命周期价值(LTV)预测模型；结合大模型进行营销文案自动生成和多版本测试；设计AI驱动的个性化推荐和营销自动化流程
75,新媒体运营专员,否,本科,1年以下,郑州,新一线城市,50-150人,3800,协助策划线上活动，提升粉丝活跃度和粘性；监测运营数据（阅读量、粉丝增长、互动率），输出周报；撰写新媒体文案，策划选题并执行内容发布；回复用户评论和私信，维护品牌形象；跟踪热点话题，快速产出相关内容提升曝光
76,AIGC内容运营,是,大专,1-3年,合肥,二线城市,500-2000人,3500,训练和调优Stable Diffusion/Midjourney等模型的提示词库；制定AIGC内容生产SOP和质量审核流程；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性
77,AI新媒体运营,是,博士,5-10年,广州,一线城市,50-150人,26100,探索AI+运营的创新场景，提升团队整体效率；训练和调优AI模型以适应垂直领域的运营需求；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容
78,新媒体运营经理,否,博士,10年以上,成都,新一线城市,2000人以上,24000,管理运营预算，控制投入产出比(ROI)；研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；分析运营数据，优化内容方向和投放策略；制定新媒体矩阵整体运营策略和年度内容规划
79,社群运营,否,硕士,10年以上,长沙,新一线城市,150-500人,10300,处理群内投诉和负面情绪，维护社群氛围；制定社群SOP（群规/入群欢迎语/日常互动流程）；培养社群KOC，激励用户自发裂变拉新；分析社群数据（入群率、活跃度、转化率、流失率）
80,AIGC内容运营,是,本科,3-5年,上海,一线城市,50-150人,14300,跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；全面负责AIGC工具选型（文生图/文生视频/文生音乐）；建立AIGC素材版权管理机制，确保合规使用
81,AI新媒体运营,是,硕士,3-5年,赣州,三线城市,500-2000人,9200,通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；训练和调优AI模型以适应垂直领域的运营需求；利用AI分析用户画像和行为数据，制定精准运营策略
82,活动运营,否,大专,1年以下,北京,一线城市,150-500人,4500,制定活动方案（目标/预算/流程/风险预案）；活动结束后输出复盘报告，沉淀方法论；研究行业优秀活动案例，建立活动创意库；协调设计、产品、技术等资源推动活动上线；策划并执行线上营销活动（促销/拉新/裂变/节日活动）
83,AI新媒体运营,是,大专,3-5年,上海,一线城市,2000人以上,9800,利用AI分析用户画像和行为数据，制定精准运营策略；运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；训练和调优AI模型以适应垂直领域的运营需求；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材
84,AIGC内容运营,是,博士,1年以下,北京,一线城市,500-2000人,19900,建立AIGC素材版权管理机制，确保合规使用；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；制定AIGC内容生产SOP和质量审核流程；训练和调优Stable Diffusion/Midjourney等模型的提示词库；探索AI在内容创意、视觉设计、音视频制作中的落地应用
85,新媒体运营专员,否,博士,5-10年,重庆,新一线城市,500-2000人,12800,监测运营数据（阅读量、粉丝增长、互动率），输出周报；协助策划线上活动，提升粉丝活跃度和粘性；撰写新媒体文案，策划选题并执行内容发布；负责微信公众号、微博等平台的日常内容更新与维护；跟踪热点话题，快速产出相关内容提升曝光
86,AI数据分析运营,是,大专,1年以下,北京,一线城市,500-2000人,10000,运用大模型进行非结构化运营数据（评论/反馈）的语义分析；搭建基于AI的用户行为分析和预测模型；通过机器学习预测粉丝增长趋势和内容爆款概率；为运营团队提供AI数据洞察，驱动精细化运营决策
87,AIGC内容运营,是,大专,1-3年,深圳,一线城市,2000人以上,8000,制定AIGC内容生产SOP和质量审核流程；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；探索AI在内容创意、视觉设计、音视频制作中的落地应用
88,短视频运营,否,大专,10年以上,成都,新一线城市,2000人以上,6500,分析短视频数据（完播率、点赞、涨粉）优化内容；研究平台算法规则，提升视频推荐量和曝光；对接达人/KOL资源，策划合作推广内容；负责抖音、快手、视频号等短视频平台的账号运营
89,新媒体运营经理,否,本科,1-3年,北京,一线城市,150-500人,7700,研究竞品动态和行业趋势，调整运营打法；带领运营团队完成各平台粉丝增长与互动目标；统筹跨部门协作，推动品牌传播项目落地；管理运营预算，控制投入产出比(ROI)；制定新媒体矩阵整体运营策略和年度内容规划
90,大模型提示词运营,是,博士,1-3年,南宁,二线城市,2000人以上,11100,建立Prompt版本管理和A/B测试机制，持续迭代最优方案；搭建和维护企业的提示词（Prompt）模板库；探索CoT/ToT等提示工程技术提升复杂任务效果；编写Prompt工程规范文档，培训团队成员使用AI工具
91,用户运营,否,本科,5-10年,襄阳,三线城市,50-150人,2900,策划用户激励活动（签到/积分/会员权益）；搭建用户分层体系（新用户/活跃用户/沉睡用户）；通过用户调研和数据分析洞察用户需求；维护核心用户社群，培养KOC并引导UGC产出；建立用户反馈闭环机制，推动产品优化
92,用户运营,否,本科,1-3年,深圳,一线城市,150-500人,7800,搭建用户分层体系（新用户/活跃用户/沉睡用户）；建立用户反馈闭环机制，推动产品优化；设计用户增长策略，提升拉新转化率和留存率；维护核心用户社群，培养KOC并引导UGC产出；策划用户激励活动（签到/积分/会员权益）
93,AIGC内容运营,是,博士,5-10年,上海,一线城市,2000人以上,35400,制定AIGC内容生产SOP和质量审核流程；跟踪AIGC技术前沿（Sora/Veo/可灵）并评估引入可行性；探索AI在内容创意、视觉设计、音视频制作中的落地应用；建立AIGC素材版权管理机制，确保合规使用
94,AI内容策划,是,大专,1-3年,苏州,新一线城市,150-500人,4600,结合AI数据分析用户内容偏好，制定内容策略方向；对比不同AI模型的内容产出效果，持续优化选题和prompt；利用AIGC工具批量生产图文、视频等多模态内容；探索RAG（检索增强生成）技术在内容生产中的应用；建立AI内容质量评估标准，把控机器生成内容质量
95,AI数据分析运营,是,本科,1-3年,福州,二线城市,500-2000人,7500,开发AI驱动的自动化数据看板和预警系统；为运营团队提供AI数据洞察，驱动精细化运营决策；运用大模型进行非结构化运营数据（评论/反馈）的语义分析；利用AI进行竞品数据采集和分析，输出竞争情报；搭建基于AI的用户行为分析和预测模型
96,AI新媒体运营,是,本科,1年以下,广州,一线城市,15-50人,5500,搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；训练和调优AI模型以适应垂直领域的运营需求；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；利用AI分析用户画像和行为数据，制定精准运营策略；探索AI+运营的创新场景，提升团队整体效率
97,新媒体运营专员,否,硕士,3-5年,上海,一线城市,500-2000人,15200,撰写新媒体文案，策划选题并执行内容发布；回复用户评论和私信，维护品牌形象；监测运营数据（阅读量、粉丝增长、互动率），输出周报
98,AI新媒体运营,是,本科,3-5年,杭州,一线城市,500-2000人,13700,运用AI工具（ChatGPT/Claude/文心一言）批量生成新媒体内容；搭建AI自动化运营流程（AI客服/AI内容审核/AI标签）；通过AIGC工具（Midjourney/Sora/可灵）制作图文和视频素材；训练和调优AI模型以适应垂直领域的运营需求；探索AI+运营的创新场景，提升团队整体效率
99,新媒体运营经理,否,本科,5-10年,深圳,一线城市,500-2000人,12500,研究竞品动态和行业趋势，调整运营打法；制定新媒体矩阵整体运营策略和年度内容规划；统筹跨部门协作，推动品牌传播项目落地
100,智能投放运营,是,本科,5-10年,芜湖,三线城市,500-2000人,6200,运用AI投放工具（腾讯广告AI/巨量引擎AI）优化广告策略；通过AI分析投放数据，自动调整人群定向和投放时段；搭建基于机器学习的智能出价和预算分配模型
101,用户运营,否,本科,1-3年,重庆,新一线城市,500-2000人,4600,建立用户反馈闭环机制，推动产品优化；通过用户调研和数据分析洞察用户需求；搭建用户分层体系（新用户/活跃用户/沉睡用户）；设计用户增长策略，提升拉新转化率和留存率
